plaza,cantidad_plazas,remuneracion_min,remuneracion_max
COORDINADOR REGIONAL PONIENTE,1,"50,390","50,390"
COORDINADOR REGIONAL SUR,1,"32,286","32,286"
COORDINADOR TECNICO,50,"18,297","22,832"
COORDINADOR TECNICO B,1,"22,453","22,453"
COORDINADOR TECNICO C,1,"25,078","25,078"
COORDINADORA DE INVESTIGACION Y ANALISIS,1,"42,130","42,130"
COORDINADORA DE PROYECTOS H,1,"50,390","50,390"
CORRECTOR TIPOGRAFICO,1,"14,812","14,812"
CRIMINOLOGO,1,"28,072","28,072"
DEFENSOR DE OFICIO,1,"12,816","12,816"
DEFENSOR PUBLICO,70,"22,453","22,453"
DELEGADO ALTOS NORTE,1,"47,094","47,094"
DELEGADO ALTOS SUR,1,"47,094","47,094"
DELEGADO CENTRO DOS,1,"55,131","55,131"
DELEGADO CENTRO TRES,1,"55,131","55,131"
DELEGADO CENTRO UNO,1,"62,968","62,968"
DELEGADO CIENEGA,1,"47,094","47,094"
DELEGADO COSTA SIERRA OCCIDENTAL,1,"55,131","55,131"
DELEGADO COSTA SUR,1,"47,094","47,094"
DELEGADO GENERAL REGIONAL,12,"54,516","54,516"
DELEGADO LAGUNAS,1,"47,094","47,094"
DELEGADO NORTE,1,"47,094","47,094"
DELEGADO REGIONAL,1,"18,297","18,297"
DELEGADO REGIONAL A,1,"19,759","19,759"
DELEGADO REGIONAL DE LA SECRETARIA DE EDUCACION NORTE,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SECRETARÍA DE EDUCACIÓN VALLES (AMEC,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SEJ COSTA SUR AUTLAN DE NAVARRO,1,"39,023","39,023"
DELEGADO REGIONAL DE LA SEJ COSTA SUR AUTLÁN DE NAVARRO,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACIÓN ALTOS NORTE LAGOS,2,"38,208","47,094"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACIÓN CENTRO 1 GUADALAJ,1,"42,280","42,280"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACIÓN CENTRO 2 ZAPOPAN,1,"42,280","42,280"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION CIENEGA OCOTLÁN,2,"38,208","47,094"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACIÓN COSTA NORTE PUERT,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION SIERRA DE AMULA E,1,"38,208","38,208"
DELEGADO REGIONAL DE LA SRIA. DE EDUCACION SURESTE TAMAZULA,1,"38,208","38,208"
DELEGADO SIERRA DE AMULA,1,"47,094","47,094"
DELEGADO SUR,1,"47,094","47,094"
DELEGADO SURESTE,1,"47,094","47,094"
DELEGADO VALLES,1,"47,094","47,094"
DESARROLLADOR,7,"32,286","32,286"
DIBUJANTE,5,"7,712","13,809"
DICTAMINADOR,1,"15,937","15,937"
DIR. DE ARTES GRAF.,1,"7,260","7,260"
DIR. DE PRIM. NOCT,1,"7,139","7,139"
DIR. GRAL. DE FORMACION CONTINUA PARA PROF. DE LA EDUCACION,1,"47,106","47,106"
DIRECCION DE PROGRAMAS DE ACOMPAÑAMIENTO EN EL AULA,1,"34,487","34,487"
DIRECCION DE PROYECTOS EDUCATIVOS DE EDUCACION PREESCOLAR,2,"34,487","42,219"
DIRECCION DE SECUNDARIAS GENERALES,1,"42,280","42,280"
DIRECCION DE SECUNDARIAS TECNICAS,1,"42,280","42,280"
DIRECCION DE TELESECUNDARIAS,1,"42,280","42,280"
DIRECCION GENERAL DE PROGRAMAS ESTRATEGICOS,1,"47,106","47,106"
DIRECTOR,4,"42,130","42,130"
DIRECTOR ACADEMICO DE EDUCACION NORMAL,1,"39,023","39,023"
DIRECTOR ADMINISTRATIVO B,2,"42,130","42,130"
DIRECTOR ADMINISTRATIVO D,2,"50,390","50,390"
DIRECTOR ADMINISTRATIVO DE CULTURA,1,"50,390","50,390"
DIRECTOR ADMINISTRATIVO DE LA PROCURAD SOCIAL,1,"50,390","50,390"
DIRECTOR ADMINISTRATIVO E,1,"58,645","58,645"
DIRECTOR ADMINISTRATIVO F,1,"66,873","66,873"
DIRECTOR ADMINISTRATIVO REINSERCION SOCIAL,1,"58,645","58,645"
DIRECTOR ADMINISTRATIVO Y DE AUDITORIA,1,"58,645","58,645"
DIRECTOR B,8,"58,645","58,645"
DIRECTOR BILINGUE DE EDUCACION PREESCOLAR INDIGENA,4,"10,098","24,185"
DIRECTOR BILINGUE DE EDUCACION PRIMARIA INDIGENA,18,"10,836","26,067"
DIRECTOR C,7,"50,390","50,390"
DIRECTOR DE ACCESO DE LAS MUJERES A LA JUSTICIA,1,"38,852","38,852"
DIRECTOR DE ACREDITACION INCORPORACION Y REVALIDACION EDUCATIVA,1,"47,094","47,094"
DIRECTOR DE ADMINISTRACION,1,"50,390","50,390"
DIRECTOR DE ADMINISTRACION A,2,"66,873","66,873"
DIRECTOR DE ADMINISTRACIÓN DE PERSONAL,1,"38,208","38,208"
DIRECTOR DE ADMINISTRACION EVALUACION Y SEGUIMIENTO,1,"90,438","90,438"
DIRECTOR DE ADMINISTRATIVO LABORAL E INFRACCIONES ADMINISTRA,1,"34,487","34,487"
DIRECTOR DE ADQUISICIONES,2,"47,094","66,873"
DIRECTOR DE AGRAVIOS,1,"58,645","58,645"
DIRECTOR DE ALFABETIZACION DIGITAL,1,"42,219","42,219"
DIRECTOR DE ALMACEN,1,"42,130","42,130"
DIRECTOR DE AMPARO DE LA CONSEJERIA JURIDICA,1,"73,783","73,783"
DIRECTOR DE AMPAROS A,1,"66,873","66,873"
DIRECTOR DE AMPAROS DE LA FISCALIA ESTATAL,1,"36,155","36,155"
DIRECTOR DE AMPAROS PROCESALES SALIDAS ALTERNAS Y FORMAS DE TERMINACION ANTICIPADA,1,"58,645","58,645"
DIRECTOR DE ANALISIS DE INDICADORES,1,"50,390","50,390"
DIRECTOR DE ANALISIS DE POLITICAS PUBLICAS,1,"50,390","50,390"
DIRECTOR DE ANALISIS DE PROCESOS,1,"50,390","50,390"
DIRECTOR DE ANALISIS E INTEGRACION DE INFORMACION,1,"50,390","50,390"
DIRECTOR DE ANALISIS JURIDICO,1,"58,645","58,645"
DIRECTOR DE ANALISIS Y CONTEXTO,1,"60,901","60,901"
DIRECTOR DE ANALISIS Y EVALUACION,1,"73,783","73,783"
DIRECTOR DE APOYO A LA COMERCIALIZACION,1,"42,130","42,130"
DIRECTOR DE APOYO A PROYECTOS DE CONECTIVIDAD,1,"50,390","50,390"
DIRECTOR DE AREA,1,"47,094","47,094"
DIRECTOR DE AREA DE ANALISIS Y ESTADISTICAS,1,"36,155","36,155"
DIRECTOR DE AREA DE APLICACION Y SOPORTE TECNOLOGICO,1,"45,429","45,429"
DIRECTOR DE AREA DE APOY INST COMB A LA CORRUP,1,"38,852","38,852"
DIRECTOR DE AREA DE APOYO A OFICIALIAS,1,"42,130","42,130"
DIRECTOR DE AREA DE ARMONIZACION CONTABLE,1,"42,130","42,130"
DIRECTOR DE AREA DE ASISTENCIA SOCIAL Y PSICOLOGIA,1,"38,852","38,852"
DIRECTOR DE AREA DE ATENCION A CONFLICTOS SOCIO AMBIENTALES,1,"42,130","42,130"
DIRECTOR DE AREA DE ATENCION A MUNICIPIOS,1,"58,645","58,645"
DIRECTOR DE AREA DE ATENCION A MUNICIPIOS DEL AREA METROPOLITANA DE GDL,1,"50,390","50,390"
DIRECTOR DE AREA DE ATENCION CIUDADANA,1,"18,297","18,297"
DIRECTOR DE AREA DE ATN A ENTES FISCALIZADORES DE RECURSOS FEDERALES,1,"42,130","42,130"
DIRECTOR DE AREA DE ATN DE ADOLEC EN CONFLICTO CON LA LEY,1,"54,516","54,516"
DIRECTOR DE AREA DE AUDITORIA DE DEPEND DEL EJECUTIVO,2,"38,852","38,852"
DIRECTOR DE AREA DE AUDITORIA DE ENTIDADES PARAESTATALES,2,"38,852","38,852"
DIRECTOR DE AREA DE CADENAS COMERCIALES,1,"38,852","38,852"
DIRECTOR DE AREA DE CAJA GENERAL,1,"58,645","58,645"
DIRECTOR DE AREA DE CATASTRO DEL ESTADO,1,"50,390","50,390"
DIRECTOR DE AREA DE CERTIFICADOS DE REGISTRO DE PROPIEDAD,1,"42,130","42,130"
DIRECTOR DE AREA DE COMERCIALIZACION,1,"36,155","36,155"
DIRECTOR DE AREA DE CONTABILIDAD,1,"45,429","45,429"
DIRECTOR DE AREA DE CONTRALORIA SOCIAL,1,"38,852","38,852"
DIRECTOR DE AREA DE CONTROL DE PROCESOS Y AUDIENCIAS AGENCIAS DEL MP FECC,1,"54,516","54,516"
DIRECTOR DE AREA DE COOPERACION INTERNACIONAL,1,"36,155","36,155"
DIRECTOR DE AREA DE CRIMINALISTICA,1,"36,155","36,155"
DIRECTOR DE AREA DE CUMPLIMIENTO DE MANDAMIENTOS JUDICIALES,1,"36,155","36,155"
DIRECTOR DE AREA DE DENUNCIAS,1,"38,852","38,852"
DIRECTOR DE AREA DE DEPOSITOS VEHICULARES,1,"42,130","42,130"
DIRECTOR DE AREA DE DESARROLLO CULTURAL Y ARTISTICO,1,"50,390","50,390"
DIRECTOR DE AREA DE DESARROLLO INSTITUCIONAL,1,"42,130","42,130"
DIRECTOR DE AREA DE DEUDA PUB Y CTRL OBLIG FINANCIERAS INST,1,"58,645","58,645"
DIRECTOR DE AREA DE DIFUSION SOCIAL,1,"50,390","50,390"
DIRECTOR DE AREA DE EDUCACION SUPERIOR,1,"50,390","50,390"
DIRECTOR DE AREA DE ESTRATEGIAS EDUCATIVAS,1,"36,155","36,155"
DIRECTOR DE AREA DE ESTUDIOS LEGISLATIVOS,1,"50,390","50,390"
DIRECTOR DE AREA DE ESTUDIOS LEGISLATIVOS Y ACUERDOS GUBERNAMENTALES,1,"58,645","58,645"
DIRECTOR DE AREA DE EXPOSICIONES NACIONALES,1,"36,155","36,155"
DIRECTOR DE AREA DE FIRMA ELECTRONICA AVANZADA,2,"42,130","42,130"
DIRECTOR DE AREA DE FOMENTO AGRICOLA Y RECONVERSION DE CULTIVOS,1,"36,155","36,155"
DIRECTOR DE AREA DE FOMENTO AVICOLA,1,"36,155","36,155"
DIRECTOR DE AREA DE FOMENTO FRUTICOLA Y HORTICOLA,1,"36,155","36,155"
DIRECTOR DE AREA DE FOMENTO PECUARIO,1,"42,130","42,130"
DIRECTOR DE AREA DE FOMENTO PORCICOLA,1,"36,155","36,155"
DIRECTOR DE AREA DE GASTO DE SERVICIOS PERSONALES,1,"58,645","58,645"
DIRECTOR DE AREA DE GASTOS DE OPERACION Y DE OBRA,1,"58,645","58,645"
DIRECTOR DE AREA DE GESTION DE LA CALIDAD DEL AIRE,1,"38,852","38,852"
DIRECTOR DE AREA DE GESTION URBANA Y DICTAMINACION,1,"50,390","50,390"
DIRECTOR DE AREA DE GESTION Y PLANEACION ESTRATEGICA,1,"50,390","50,390"
DIRECTOR DE AREA DE GOBERNANZA TERRITORIAL,1,"42,130","42,130"
DIRECTOR DE AREA DE INFORMACION Y DOCUMENTACION,1,"50,390","50,390"
DIRECTOR DE AREA DE INFORMATICA,1,"38,852","38,852"
DIRECTOR DE AREA DE INFORMATICA DEL REGISTRO PUBLICO,1,"42,130","42,130"
DIRECTOR DE AREA DE INFORMATICA Y SISTEMAS ORGANIZAC,1,"32,286","32,286"
DIRECTOR DE AREA DE INVERSION PUBLICA,1,"58,645","58,645"
DIRECTOR DE AREA DE INVESTIGACION Y CULTURA VIAL,1,"36,155","36,155"
DIRECTOR DE AREA DE JURIDICO Y DE COMERCIO,1,"42,130","42,130"
DIRECTOR DE AREA DE LA ANTIG ESTACION CTRAL DE AUTO TRANSP,1,"38,852","38,852"
DIRECTOR DE AREA DE LICENCIAS Y REGISTRO DE CONDUCTORES,1,"42,130","42,130"
DIRECTOR DE AREA DE LO CONSULTIVO FISCAL,1,"45,429","45,429"
DIRECTOR DE AREA DE LO CONTENCIOSO DE LA SECRETARIA DE TRANSPORTE,1,"38,852","38,852"
DIRECTOR DE AREA DE LOGISTICA,1,"42,130","42,130"
DIRECTOR DE AREA DE MEDIOS ALTER DE SOLUC DE CONFLICTOS,1,"54,516","54,516"
DIRECTOR DE AREA DE MODERNIZACION Y GESTION DE LA CALIDAD,1,"42,130","42,130"
DIRECTOR DE AREA DE MULTITRAMITE,1,"50,390","50,390"
DIRECTOR DE AREA DE NOTIFICACION Y EJECUCION FISCAL,1,"45,429","45,429"
DIRECTOR DE AREA DE OFICINAS FORANEAS Y DEPENDENCIAS PUBLICAS,1,"42,130","42,130"
DIRECTOR DE AREA DE OPERACION Y PROGRAMACION CULTURAL,1,"50,390","50,390"
DIRECTOR DE AREA DE PLANEACION,1,"36,155","36,155"
DIRECTOR DE AREA DE PLANEACION VINCULACION Y DESARROLLO SECTORIAL,1,"58,645","58,645"
DIRECTOR DE AREA DE PLANEACION Y ADMINISTRACION DE RECURSOS Y PROYECTOS,1,"50,390","50,390"
DIRECTOR DE AREA DE PLANEACION Y ESTADISTICA,1,"36,155","36,155"
DIRECTOR DE AREA DE PLANEACION Y TECNOLOGIAS DE LA INFORMACION,1,"36,155","36,155"
DIRECTOR DE AREA DE POLITICA SALARIAL,1,"45,429","45,429"
DIRECTOR DE AREA DE PRESUPUESTO,1,"58,645","58,645"
DIRECTOR DE AREA DE PROFESIONALIZACION,1,"32,286","32,286"
DIRECTOR DE AREA DE PROFESIONES DEL ESTADO,1,"42,130","42,130"
DIRECTOR DE AREA DE PROG Y ACCIO DE PART CIUDADA Y COMUN,1,"36,155","36,155"
DIRECTOR DE AREA DE PROGRAMACION,1,"58,645","58,645"
DIRECTOR DE AREA DE PROMOCION COMERCIAL E INNOVACION,1,"36,155","36,155"
DIRECTOR DE AREA DE PROPIEDAD,1,"42,130","42,130"
DIRECTOR DE AREA DE PROYECTOS CARRETEROS,1,"32,286","32,286"
DIRECTOR DE AREA DE PROYECTOS ESTRATEGICOS,1,"42,130","42,130"
DIRECTOR DE AREA DE PROYECTOS INTERSECTORIALES,1,"58,645","58,645"
DIRECTOR DE AREA DE PUBLICACIONES DE SECRETARIA GENERAL,1,"42,130","42,130"
DIRECTOR DE AREA DE REC MAT Y SERVS GRALES DE LA SECRETARIA DE TRANSPORTE,1,"36,155","36,155"
DIRECTOR DE AREA DE RECURSOS DIGITALES,1,"28,072","28,072"
DIRECTOR DE AREA DE RECURSOS FINANCIEROS DE LA SECRETARIA DE TRANSPORTE,1,"36,155","36,155"
DIRECTOR DE AREA DE RECURSOS HUMANOS,1,"42,130","42,130"
DIRECTOR DE AREA DE RECURSOS HUMANOS DE LA SECRETARIA DE TRANSPORTE,1,"36,155","36,155"
DIRECTOR DE AREA DE RECURSOS HUMANOS Y FINANCIEROS,1,"50,390","50,390"
DIRECTOR DE AREA DE RECURSOS MATERIALES,1,"45,429","45,429"
DIRECTOR DE AREA DE RECURSOS MATERIALES Y FINANCIEROS,1,"50,390","50,390"
DIRECTOR DE AREA DE REINGENIERIA,1,"58,645","58,645"
DIRECTOR DE AREA DE RESPONSABILIDADES Y CONTENCIOSO,1,"38,852","38,852"
DIRECTOR DE AREA DE SEG EN EL TRABAJO Y PROMOCION DE LA SALUD,1,"36,155","36,155"
DIRECTOR DE AREA DE SERV PRIVADOS DE SEGURIDAD,1,"50,390","50,390"
DIRECTOR DE AREA DE SERVICIOS EN DELEGACIONES FORANEAS,1,"38,852","38,852"
DIRECTOR DE AREA DE SERVICIOS GENERALES,1,"36,155","36,155"
DIRECTOR DE AREA DE SERVICIOS GENERALES DE SRIA GENERAL,1,"50,390","50,390"
DIRECTOR DE AREA DE SERVICIOS INFORMATICOS,1,"50,390","50,390"
DIRECTOR DE AREA DE SITIOS PLATAFORMAS Y TRANSPORTE ESPECIALIZADO,1,"36,155","36,155"
DIRECTOR DE AREA DE SUPERVISION DE MEDIDAS CAUTELARES,1,"45,429","45,429"
DIRECTOR DE AREA DE SUPERVISION Y COORDINACION,1,"42,130","42,130"
DIRECTOR DE AREA DE TECNOLOGIA DE LA INFORMACION FINANCIERA,1,"45,429","45,429"
DIRECTOR DE AREA DE TRANSPORTE DE PASAJEROS,1,"36,155","36,155"
DIRECTOR DE AREA DE UNIDADES REGIONALES DE SERVICIOS ESTATALES,1,"42,130","42,130"
DIRECTOR DE AREA DE VERIFICACION DE OBRA CONVENIDA,1,"38,852","38,852"
DIRECTOR DE AREA DE VERIFICACION DE OBRA DIRECTA,1,"38,852","38,852"
DIRECTOR DE AREA DE VINCULACION,1,"58,645","58,645"
DIRECTOR DE AREA DE VINCULACION DE LA COORDINACION DE DESARROLLO ECONOMICO,1,"58,645","58,645"
DIRECTOR DE AREA DE VINCULACION INSTITUCIONAL,1,"38,852","38,852"
DIRECTOR DE AREA DE VISITADURIA NOTARIAL,1,"50,390","50,390"
DIRECTOR DE AREA DEL ARCHIVO DE INSTRUMENTOS PUBLICOS,1,"50,390","50,390"
DIRECTOR DE AREA DEL ARCHIVO GENERAL DEL REGISTRO CIVIL,1,"42,130","42,130"
DIRECTOR DE AREA DEL ARCHIVO HISTORICO,1,"66,873","66,873"
DIRECTOR DE AREA DEL CENTRO DE ATN INTEGRAL JUVENIL,1,"36,323","36,323"
DIRECTOR DE AREA DEL CENTRO DE OBSERVACION CLASIFICACION Y DIAGNOSTICO,1,"36,323","36,323"
DIRECTOR DE AREA DEL CENTRO INTEGRAL DE COMUNICACIONES,1,"42,130","42,130"
DIRECTOR DE AREA DEL REGISTRO ESTATAL DE MOVILIDAD Y TRANSP,1,"50,390","50,390"
DIRECTOR DE AREA EN COMERCIO LOCAL,1,"36,155","36,155"
DIRECTOR DE AREA JURIDICA,1,"38,852","38,852"
DIRECTOR DE AREA JURIDICA DE LA SRIA DEL TRAB Y PREV SOC,1,"50,390","50,390"
DIRECTOR DE AREA JURIDICA DE LO CONSULTIVO Y CONTENCIOSO,1,"38,852","38,852"
DIRECTOR DE AREA JURIDICA DEL CONSEJO ESTATAL DE SEG PUB,1,"50,390","50,390"
DIRECTOR DE AREA JURIDICA DEL TRANSPORTE,1,"42,130","42,130"
DIRECTOR DE AREA NIVEL 16,2,"17,213","17,213"
DIRECTOR DE AREA NIVEL 17,3,"19,532","25,729"
DIRECTOR DE AREA NIVEL 19,1,"24,533","24,533"
DIRECTOR DE AREA NIVEL 20,10,"27,627","35,981"
DIRECTOR DE AREA NIVEL 21,4,"30,883","39,023"
DIRECTOR DE AREA NIVEL 22,3,"34,487","34,487"
DIRECTOR DE AREA NIVEL 23,5,"38,208","38,208"
DIRECTOR DE AREA NIVEL 24,4,"42,280","42,280"
DIRECTOR DE AREA OPERATIVA,1,"58,645","58,645"
DIRECTOR DE AREA OPERATIVA AMBIENTAL,1,"50,390","50,390"
DIRECTOR DE AREA REGISTRO ESTATAL DE MOVILIDAD Y TRANSPORTE,1,"50,390","50,390"
DIRECTOR DE AREA TECNICA,1,"36,155","36,155"
DIRECTOR DE AREA TECNICA DE EVALUACION SEGUIM Y CONCERT,1,"32,286","32,286"
DIRECTOR DE AREA TECNICA PENITENCIARIA,1,"38,852","38,852"
DIRECTOR DE AREA TECNICA Y DE SEGUIMIENTO,1,"38,852","38,852"
DIRECTOR DE AREA TECNICA Y SITUACION PATRIMONIAL,1,"38,852","38,852"
DIRECTOR DE AREAS NATURALES PROTEGIDAS Y ESPECIES PRIORITARIAS,1,"58,645","58,645"
DIRECTOR DE ARTES Y OF.,3,"9,521","9,521"
DIRECTOR DE ARTICULACION DE PROGRAMAS ESTRATEGICOS,1,"62,968","62,968"
DIRECTOR DE ARTICULACIÓN Y VINCULACIÓN CON PROGRAMAS DE FORM,1,"38,208","38,208"
DIRECTOR DE ASEGURAMIENTO DE LA CALIDAD ACREDITACION Y MEDICAMENTOS,1,"50,390","50,390"
DIRECTOR DE ASUNTOS INTERNOS,1,"58,645","58,645"
DIRECTOR DE ASUNTOS JURIDICOS,2,"42,130","62,968"
DIRECTOR DE ATENCION A ENTES FISCALIZADORES DE RECURSOS ESTATALES,1,"42,130","42,130"
DIRECTOR DE ATENCION A LA INFRAESTRUCTURA ESCOLAR,1,"39,023","39,023"
DIRECTOR DE ATENCION A MUJERES VICTIMAS DE VIOLENCIAS,1,"38,852","38,852"
DIRECTOR DE ATENCION A MUNICIPIOS E INSPECCION,1,"36,323","36,323"
DIRECTOR DE ATENCION A PERSONAS MIGRANTES,1,"58,645","58,645"
DIRECTOR DE ATENCION Y SEGUIMIENTO,1,"42,219","42,219"
DIRECTOR DE AUDITORIA,1,"58,645","58,645"
DIRECTOR DE AUDITORIA INTERNA,1,"42,130","42,130"
DIRECTOR DE AUDITORIA PREVENTIVA Y DEL DESEMPEÑO,1,"42,130","42,130"
DIRECTOR DE AUDITORIA PREVENTIVA Y ORIENTACION ADMINISTRATIVA,1,"33,737","33,737"
DIRECTOR DE AUDITORIA Y RECEPCION A SISTEMAS DE TRANSPORTE,1,"50,390","50,390"
DIRECTOR DE AYUDANTIA,1,"73,783","73,783"
DIRECTOR DE BECAS,1,"62,968","62,968"
DIRECTOR DE BIENES MUEBLES VEHICULOS Y COMBUSTIBLES,1,"42,130","42,130"
DIRECTOR DE BUSQUEDA DE PERSONAS DESAPARECIDAS,1,"58,645","58,645"
DIRECTOR DE CADENAS PRODUCTIVAS Y SUSTENTABILIDAD,1,"36,155","36,155"
DIRECTOR DE CAPACITACION,1,"58,645","58,645"
DIRECTOR DE CAPACITACION PARA EL TRABAJO,1,"62,968","62,968"
DIRECTOR DE CAPACITACIÓN PARA LA VIDA Y EL TRABAJO,1,"38,208","38,208"
DIRECTOR DE CIENCIAS EXACTAS Y HABILIDADES MENTALES,1,"39,023","39,023"
DIRECTOR DE COMERCIO EXTERIOR,1,"45,429","45,429"
DIRECTOR DE COMITE DE ADQUISICIONES Y ENAJENACIONES,1,"66,873","66,873"
DIRECTOR DE COMUNICACION DE COMUNICACION AUXILIAR,1,"58,645","58,645"
DIRECTOR DE COMUNICACION DE LA COORDINACION GENERAL ESTRATEGICA DE CRECIMIENTO Y DESARR,1,"58,645","58,645"
DIRECTOR DE COMUNICACION DE LA COORDINACION GENERAL ESTRATEGICA DE DESARROLLO SOCIAL,1,"58,645","58,645"
DIRECTOR DE COMUNICACION DE LA COORDINACION GENERAL ESTRATEGICA DE GESTION DEL TERRITORI,1,"58,645","58,645"
DIRECTOR DE COMUNICACION DE LA COORDINACION GENERAL ESTRATEGICA DE SEGURIDAD,1,"58,645","58,645"
DIRECTOR DE COMUNICACION SOCIAL,1,"42,219","42,219"
DIRECTOR DE CONSERVACION,1,"58,645","58,645"
DIRECTOR DE CONSERVACION Y RACIONALIZACION DE ESPACIOS,1,"42,130","42,130"
DIRECTOR DE CONSTRUCCION INFRAESTRUCTURA ZONA 1,1,"58,645","58,645"
DIRECTOR DE CONSULTAS CIUDADANAS,1,"58,645","58,645"
DIRECTOR DE CONTABILIDAD,1,"38,208","38,208"
DIRECTOR DE CONTABILIDAD Y CONTROL FINANCIERO,1,"39,023","39,023"
DIRECTOR DE CONTENIDOS Y MENSAJES,1,"50,390","50,390"
DIRECTOR DE CONTRATACION,1,"58,645","58,645"
DIRECTOR DE CONTROL DE PERSONAL,1,"58,645","58,645"
DIRECTOR DE CONTROL DE PROCESOS Y AUDIENCIAS,1,"54,516","54,516"
DIRECTOR DE CONTROL DE RIESGOS,1,"50,390","50,390"
DIRECTOR DE CONTROL ESCOLAR DE BÁSICA Y MEDIO SUPERIOR,1,"30,883","30,883"
DIRECTOR DE CONTROL ESCOLAR DE NORMAL SUPERIOR,1,"34,487","34,487"
DIRECTOR DE CONTROL Y SUPERVISION,1,"50,390","50,390"
DIRECTOR DE COOPERACION Y GESTION,1,"50,390","50,390"
DIRECTOR DE CORREDORES BIOLOGICOS Y CUENCAS,1,"38,852","38,852"
DIRECTOR DE CULTURA DE LA TRANSPARENCIA Y BUENAS PRACTICAS,1,"42,130","42,130"
DIRECTOR DE CUMPLIMIENTO A MANDAMIENTOS JUDICIALES,1,"58,645","58,645"
DIRECTOR DE DESAROLLO,1,"66,873","66,873"
DIRECTOR DE DESARROLLO ACADEMICO,1,"39,023","39,023"
DIRECTOR DE DESARROLLO DE SOFTWARE EDUCATIVO,1,"42,280","42,280"
DIRECTOR DE DESARROLLO EDUCATIVO,1,"47,094","47,094"
DIRECTOR DE DIFUSION DE LA CULTURA Y LAS ARTES,1,"38,852","38,852"
DIRECTOR DE DISEÑO ESTRATEGICO,1,"58,645","58,645"
DIRECTOR DE DISEÑO Y OPERACION DE RUTAS RELIGIOSAS,1,"38,852","38,852"
DIRECTOR DE DIVERSIDAD SEXUAL,1,"45,429","45,429"
DIRECTOR DE EDUCACION BASICA PARA ADULTOS NOCTURNA FORANEO.,12,"5,377","21,191"
DIRECTOR DE EDUCACION COMUNITARIA,2,"27,627","29,714"
DIRECTOR DE EDUCACION ESPECIAL,1,"39,023","39,023"
DIRECTOR DE EDUCACIÓN ESPECIAL.,1,"42,280","42,280"
DIRECTOR DE EDUCACION FISICA Y DEPORTE,1,"39,023","39,023"
DIRECTOR DE EDUCACIÓN FÍSICA Y DEPORTE.,1,"38,208","38,208"
DIRECTOR DE EDUCACION MEDIA SUPERIOR,1,"62,968","62,968"
DIRECTOR DE EDUCACION MEDIA SUPERIOR TECNOLOGICA,1,"42,219","42,219"
DIRECTOR DE EDUCACION NORMAL,1,"55,131","55,131"
DIRECTOR DE EDUCACION PREESCOLAR,1,"62,968","62,968"
DIRECTOR DE EDUCACION PRIMARIA,1,"62,968","62,968"
DIRECTOR DE EDUCACION SECUNDARIA,1,"62,968","62,968"
DIRECTOR DE EDUCACION TELESECUNDARIA,1,"39,023","39,023"
DIRECTOR DE EMPRENDIMIENTO,1,"39,023","39,023"
DIRECTOR DE ENLACE ADMINISTRATIVO,1,"58,645","58,645"
DIRECTOR DE ENLACE DE COORDINACIONES DE COMUNICACION,1,"58,645","58,645"
DIRECTOR DE ENLACE SECTORIAL,1,"50,390","50,390"
DIRECTOR DE ENLACE Y AUTORIDADES,1,"50,390","50,390"
DIRECTOR DE ESCUELA DE EDUCACION ESPECIAL,215,"10,866","43,252"
DIRECTOR DE ESCUELA NORMAL,18,"21,488","21,488"
DIRECTOR DE ESCUELA SECUNDARIA TECNICA FORANEO,165,"25,632","86,894"
DIRECTOR DE ESTADISTICA Y SISTEMAS DE INFORMACION,1,"42,219","42,219"
DIRECTOR DE ESTADISTICA Y SISTEMAS DE INFORMACIÓN,1,"42,280","42,280"
DIRECTOR DE ESTIMACIONES Y PAGOS,1,"50,390","50,390"
DIRECTOR DE ESTUDIOS Y PROYECTOS,1,"50,390","50,390"
DIRECTOR DE ESTUDIOS Y PROYECTOS DE MEJORA REGULATORIA,1,"42,130","42,130"
DIRECTOR DE EVALUACION DEL SISTEMA EDUCATIVO,1,"39,023","39,023"
DIRECTOR DE EVALUACION DEL SISTEMA EDUCATIVO ESTATAL,1,"39,023","39,023"
DIRECTOR DE EVALUACIÓN DEL SISTEMA EDUCATIVO ESTATAL,1,"38,208","38,208"
DIRECTOR DE EVALUACION EDUCATIVA,1,"47,094","47,094"
DIRECTOR DE EVALUACION PARA LA MEJORA PUBLICA,1,"50,390","50,390"
DIRECTOR DE EVALUACION SOCIECONOMICA,1,"42,130","42,130"
DIRECTOR DE EVALUACIONES ECONOMICAS,1,"50,390","50,390"
DIRECTOR DE EXTENSIONISMO Y CAPACITACION RURAL,1,"42,130","42,130"
DIRECTOR DE EXTINCION DE DOMINIO,1,"54,516","54,516"
DIRECTOR DE FIDEICOMISOS,1,"45,429","45,429"
DIRECTOR DE FINANCIAMIENTO RURAL,1,"36,155","36,155"
DIRECTOR DE FINIQUITO Y CIERRE DE OBRAS,1,"38,852","38,852"
